"Planet_key":"planet":"STAR_CODE":"relative mass":"Relative Density":"RADIUS (EARTH)":"Type Of Terrain":"Climate Type"
30:"Algieba Epsilon":9991:1,65:1,045:1,16:"bog; jungle; acid pool":"superheated; temperate; frigid; artic; humid; subartic; frozen"
31:"Dziban Er":9660:2,89:0,85:1,5:"grassland; lava river; cave; rock arche":"rocky; humid; arid; frigid"
32:"Aurora Phantasm Delta":8378:6,57:0,663:2,15:"reef; cave":"arid; artic; windy; rocky; hot; temperate; tropical"
33:"Aurora Phantasm Rho":8378:4,24:0,9:1,68:"lakes; lava river; grassland":"temperate; arid; rocky; subartic"
34:"Furud Psychean":8820:3,64:1,404:1,37:"glacier; toxic cloudsea; grassy hill":"arid; frozen; artificial temperate; superheated; temperate; windy; tropical"
35:"Nenque Undecimal":5758:5,06:1,176:1,63:"ocean":"arid; tropical"
36:"Nenque Quintal":5758:5,35:1,201:1,65:"rainforest; ice canyon; rocky desert":"subartic; tropical; frozen; artic"
37:"Nenque Nonal":5758:7,02:0,695:2,16:"tundra; canyons; plateau; bog; ash":"superheated; tropical; frigid"
38:"Nervia Septimal":9060:1,36:0,918:1,14:"forest; grassy hill; mountain; ocean":"superheated; arid; humid; hot"
39:"Nervia Quintal":7001:7,1:0,864:2,02:"grassland; glacier; fungus forest; jungle; cliff; rocky desert; lava river; city":"superheated; arid; artic; humid; subartic; artificial temperate; frozen"
40:"Nervia Duodecimal":7001:0,94:Unknown:0,96:"ash; glacier; plateau; valley; volcano; reef":"artic; frigid; frozen; hot; tropical"
41:"Siriusith Octal":8680:3,63:0,988:1,54:"sea; sinkholes":"hot"
42:"Siriusith Undecimal":8680:0,55:1,268:0,76:"verdant; hill; reef; acid pool; grassland; ice canyon":"frigid; artificial temperate; humid; superheated"
43:"Eltanin Tau":52:1,88:0,74:1,36:"vine; rocky island; sinkholes; ocean; valley; plain; island; grassy hill":"frigid; superheated; hot; frozen; artificial temperate"
44:"Lunar Quasar Sirenios":645:1,72:1,134:1,15:"rocky canyon; rainforest; ocean; forest; jungle; field; lakes":"frozen; temperate; arid; rocky; superheated"
45:"Oborozuki XI":457:1,37:0,951:1,13:"tundra":"frigid; hot; frozen; rocky; superheated; arid"
46:"Cosmic Whispers Si":3745:7,99:0,978:2,01:"reef; river; volcano":"frozen; hot; subartic"
47:"Cosmic Whispers Wu":3745:2,79:0,753:1,55:"fungus forest; sea; rainforest; cliff; savanna; toxic cloudsea; bog; desert; swamp; ocean":"rocky; arid; temperate; superheated; frozen; tropical; subartic"
48:"Cimmerian Veil Phi":1562:2,12:0,824:1,37:"mountain":"rocky; hot; humid; superheated; frigid; windy"
49:"Solaraflux Nonal":5738:5,01:0,878:1,79:"cave; fungus forest; valley; tundra; city; jungle; reef; hill; desert":"tropical; humid; superheated; rocky; frigid; arid"
50:"Solaraflux Vigesimal":5738:7,18:0,988:1,94:"sea; sinkholes":"artic; frozen; hot; superheated; rocky; humid"
51:"Hunahpú XXII":7021:1,66:0,67:1,35:"river":"frozen; rocky; temperate"
52:"Starshara Nyxios":3558:7,78:1,018:1,97:"city; acid pool; verdant; grassland; bog":"temperate; subartic; rocky; hot; artic; humid"
53:"Starshara Aphroditos":3558:2,99:0,752:1,58:"city; rocky canyon; mountain":"artic; temperate"
54:"Aludra Gaian":712:5,79:0,963:1,82:"ash":"windy; frigid; humid; hot"
55:"Aludra Museios":712:6,17:0,964:1,86:"rocky island":"rocky; superheated; tropical; artificial temperate; arid"
56:"Aludra Tritonian":712:5,59:1,142:1,7:"jungle; city":"arid; superheated; tropical"
57:"Nembus Faunios":8488:2,25:1,177:1,24:"urban; river":"rocky; humid; artic; subartic; artificial temperate; arid; frigid"
58:"Nembus Pantheon":8488:5,51:1,261:1,63:"rock arche; ice cave":"subartic; rocky; superheated; hot; artic"
59:"Nembus Zephyrian":8488:3,68:0,704:1,74:"ice cave":"frozen; humid; rocky; windy"
60:"Mirfak Athenian":1942:5,34:0,811:1,87:"volcano; lakes; verdant; glacier; grassy hill; jungle; rocky island; vine; plateau; ocean":"artic; subartic; hot; rocky; frigid; frozen; artificial temperate"
61:"Galacticon Hestian":7528:5,48:1,014:1,75:"ice canyon; cliff":"artic"
62:"Galacticon Dionian":7528:1,35:0,937:1,13:"verdant; tundra; lakes; reef; savanna; rocky island":"artic; rocky; frigid; subartic"
63:"Násti Decimal":128:6,99:0,967:1,93:"rock arche; vine; hill; rocky canyon; rocky island; reef":"artificial temperate; temperate; subartic; humid; artic; rocky; frozen"
64:"Násti Octal":128:0,42:0,717:0,84:"toxic cloudsea; forest; lakes; sea; rock arche":"artic; rocky; humid"
65:"Sadachbia Secant":2035:5,68:0,976:1,8:"grassland; reef; plateau; vine; ash; river; rock arche":"rocky; hot; arid; artificial temperate; temperate"
66:"Sadachbia Quartal":2035:2,57:0,796:1,48:"hill":"arid; windy"
67:"Azha Septimal":2352:5,41:1,09:1,71:"valley; glacier; mountain":"rocky; temperate; frigid"
68:"Jabbah VI":9314:3,5:1,043:1,5:"valley":"subartic; arid"
69:"Ryusei Radiance Secant":1757:1,46:0,615:1,33:"reef; bog":"subartic; superheated; rocky; tropical"
70:"Ryusei Radiance Undecimal":1757:4,24:0,965:1,64:"reef; forest; rocky island; tundra":"rocky; tropical; arid; humid"
71:"Funi Irisian":8279:Unknown:1,263:1,09:"savanna; rocky desert; ice cave; glacier; lakes; sea; ash; vine":"arid; frigid; artic; humid; superheated; temperate; artificial temperate"
72:"Suhail Museios":2229:3,45:0,779:1,64:"valley; cave; island; grassland; lakes":"rocky; temperate; superheated; windy"
73:"Mekbuda Sextant":1769:6,38:1,088:1,8:"cityscape; vine":"rocky"
74:"Umbra Veil Qi":3165:1,81:1,268:1,13:"forest; mountain; river; reef":"arid; frozen; artificial temperate"
75:"Kasai Ember Museios":5553:3,69:1,057:1,52:"mountain; desert; rocky desert; plain; plateau; city; ocean; rock arche":"rocky; frozen; artificial temperate; windy; artic; frigid; subartic"
76:"Orionyx Pegasusian":6729:2,09:0,736:1,42:"island; cityscape":"artificial temperate; superheated"
77:"Umbral Depths VI":8186:4,7:0,953:1,7:"ice cave; sea; urban; plain; rocky canyon":"artificial temperate; frozen; superheated; frigid; artic; windy"
78:"Umbral Depths XVI":8186:3,77:0,93:1,59:"island; hill; plateau":"humid; arid; temperate"
79:"Umbral Depths V":8186:1,27:1,253:1:"vine; rainforest":"superheated; humid; tropical; windy"
80:"Alpherg VIII":4252:6,05:0,756:2:"vine":"rocky; temperate"
81:"Lerna Omega":1963:1,12:0,742:1,15:"scrubland":"humid; artificial temperate; arid; subartic; frozen; frigid"
82:"Tureis Qi":1013:3,02:1,046:1,42:"ocean; ash; sea":"subartic; hot"
83:"Uchū Prime":750:1,6:1,719:0,98:"valley; bog":"hot; humid"
84:"Uchū Tertial":750:5,24:0,777:1,89:"bog; rocky island":"arid; temperate; windy; artic"
85:"Copernicus Kappa":8887:8,98:0,874:2,17:"cliff; sea; grassland":"temperate; artificial temperate; superheated"
86:"Hotaru Ascendance Pantheon":5308:7,84:0,985:2:"savanna":"frigid; rocky; subartic; hot; superheated"
87:"Haruka Echoes Tau":7371:6,48:0,756:2,05:"lakes":"artic"
88:"Vermilion Expanse Secant":5410:0,76:1,012:0,91:"lava river; fungus forest; sinkholes":"temperate; hot"
89:"Vermilion Expanse Sextant":5410:1,55:1,209:1,09:"ice cave; cityscape; cliff":"hot; arid; frozen; rocky; humid"
90:"Okab Psi":228:4,16:0,94:1,64:"urban":"temperate; superheated; artic; humid"
91:"Angetenar Psi":753:8,88:0,711:2,32:"rocky desert; plateau; cityscape; lakes":"subartic; frozen; artic"
92:"Mimosa Undecimal":7846:7,36:1,165:1,85:"hill; island; vine; rock arche; city; plateau; forest; cityscape; ice cave":"artic; frozen; subartic; tropical; humid; frigid"
93:"Athebyne Echoian":6711:0,58:0,701:0,94:"ice cave; rock arche":"subartic; windy; frigid; frozen"
94:"Unukalhai Sigma":8313:7,07:1,044:1,89:"toxic cloudsea; cave":"frozen"
95:"Unukalhai Xi":8313:1,18:1,203:0,99:"plateau; canyons; mountain; lakes":"rocky; frozen; arid"
96:"Unukalhai Chi":8313:4,56:0,596:1,97:"verdant; valley":"subartic; temperate; rocky; windy; humid"
97:"Atria Omicron":9958:6,84:0,894:1,97:"verdant; lakes; tundra; lava river":"hot; windy; frozen; rocky"
98:"Elysian Nebula Irisian":7653:4,86:0,752:1,86:"river; rocky island":"temperate"
99:"Elysian Nebula Harpian":7653:2,21:0,931:1,33:"rocky desert; desert":"arid; superheated; frigid; subartic; artificial temperate"
100:"Zubenelhakrabi Septimal":1573:1,43:0,895:1,17:"bog; glacier":"subartic; temperate; humid"
101:"Rasalas Pi":9855:3,24:0,817:1,58:"ice canyon; plateau":"artic"
102:"Rasalas Rho":9855:0,9:0,811:1,04:"plain; rocky canyon; cliff; forest; city; cityscape; hill; rock arche; ice canyon":"subartic; frozen; superheated; humid; temperate; frigid"
103:"Whalebone Omicron":3345:1,15:1,478:0,92:"river; rock arche; tundra; grassy hill":"windy; rocky; frigid; artic; subartic; temperate"
104:"Whalebone Kappa":3345:4,54:0,992:1,66:"rocky canyon; sea":"superheated; artificial temperate; subartic"
105:"Arcanara Quartal":7282:6,54:1,255:1,73:"vine; cityscape; valley":"rocky; artificial temperate; subartic; frigid"
106:"Diadem Hestian":1336:7,65:0,665:2,26:"vine; rainforest; plateau; cliff":"hot; humid; artic; frozen; artificial temperate"
107:"Diadem Nymphios":1336:1,19:1,372:0,95:"ash; ice cave; field; grassland; urban":"hot; superheated; temperate; artificial temperate; frozen"
108:"Astrum Quasar San":190:8,37:0,9:2,1:"urban":"artificial temperate; subartic; frozen; temperate; humid"
109:"Astrum Quasar Shi":190:2,97:1,244:1,34:"lava river; cave; plateau; verdant; bog; forest; glacier":"frigid; superheated; humid; hot; subartic"
110:"Astrum Quasar Si":190:1,79:0,817:1,3:"ice cave; city":"rocky; superheated; subartic; artic"
111:"Axeheart IV":9900:Unknown:1,219:1,42:"plain":"windy; hot; artificial temperate"
112:"Axeheart VIII":9900:2,6:1,202:1,29:"desert; rock arche; grassland; hill":"temperate; subartic; humid; hot"
113:"Axeheart I":9900:1,23:1,321:0,98:"field; ash; urban; fungus forest":"hot; windy; rocky; superheated; frozen; temperate"
114:"Cor Caroli Harpian":5593:6,8:0,682:2,15:"valley; acid pool; plateau; ash":"superheated; hot; tropical"
115:"Nova Veil XIX":2689:1,32:0,852:1,16:"island; lakes; reef":"arid; artic; frozen; artificial temperate"
116:"Nova Veil XXII":2689:1,08:Unknown:0,97:"savanna; hill; mountain; cityscape; plateau":"frigid; frozen; subartic; rocky; windy"
117:"Cleopatra's Loom Prime":5496:0,91:1,482:0,85:"vine; field":"arid; hot; superheated"
118:"Aozora Nebula XIV":1660:1,42:1,037:1,11:"acid pool; ice cave; city; island; river":"hot; superheated; frigid; artic; windy; subartic; tropical"
119:"Aozora Nebula XXI":1660:1,62:0,482:1,5:"rock arche; forest":"rocky"
120:"Aozora Nebula VII":1660:1,17:1,003:1,05:"verdant; reef; rock arche":"tropical; rocky"
121:"Clandestine Nebula Nereidos":324:5,68:0,956:1,81:"mountain; vine; grassy hill":"artificial temperate; windy; temperate"
122:"Novaflame Oranos":1325:3,84:Unknown:1,57:"rocky island; mountain; ice canyon; plateau":"humid; frigid; temperate"
123:"Novaflame Irisian":1325:1,13:1,549:0,9:"urban; lakes; cliff":"subartic; frozen; artic"
124:"Zephyrianix Yi":5291:8,69:1,268:1,9:"canyons; verdant; tundra; savanna; jungle; plateau; field; lakes":"artic; frozen; tropical; superheated; subartic; rocky"
125:"Zephyrianix Er":5291:6,47:0,696:2,1:"rock arche; reef; valley":"temperate; frigid; frozen"
126:"Yugure Radiance Selenean":4298:1,28:0,548:1,33:"canyons; forest":"frigid; tropical; humid; superheated; subartic"
127:"Lurking Whispers Museios":6701:3,43:1,482:1,32:"reef; fungus forest; rock arche; toxic cloudsea":"frozen; rocky; subartic; tropical"
128:"Nebula Nova Mu":5370:1,38:1,193:1,05:"bog; scrubland; volcano; jungle; cliff; acid pool; rocky desert":"superheated; arid; hot; subartic; tropical"
129:"Nebula Nova Lambda":5370:1,25:1,131:1,03:"tundra; jungle":"frigid; superheated"
130:"Stellarnova Ba":2056:5,68:1,123:1,72:"rainforest; forest; ocean; city; plain; verdant; sea":"humid; superheated; temperate; arid; windy; hot"
131:"Dìwö Er":5152:4,93:0,999:1,7:"city; vine; sinkholes":"rocky; superheated"
132:"Dìwö Qi":5152:4,93:0,884:1,77:"plateau; island; jungle":"tropical; frigid; temperate"
133:"Iklil Decimal":392:1,09:0,948:1,05:"plain; toxic cloudsea; plateau":"frozen; hot"
134:"Iklil Prime":392:7,23:1,124:1,86:"bog; savanna; cliff":"artificial temperate; subartic; arid; hot"
135:"Iklil Quintal":392:1,51:0,509:1,44:"urban; reef":"humid"
136:"Illyrian Chi":8066:2,92:0,699:1,61:"city; fungus forest":"artificial temperate; artic; subartic; hot; frozen; superheated"
137:"Illyrian Phi":8066:1,86:0,948:1,25:"mountain; field; grassy hill; city":"superheated; artificial temperate; humid; subartic; frigid"
138:"Jishui Olympus":2022:0,47:0,856:0,82:"field":"tropical"
139:"Ecliptara Orphean":8795:0,63:1,448:0,76:"bog; grassy hill; cityscape; vine; cave":"rocky; subartic; windy; temperate"
140:"Quanticara Decimal":5120:8,32:1,188:1,91:"ocean":"arid; frigid"
141:"Quanticara Tertial":5120:1,68:1,405:1,06:"mountain; vine; rocky canyon; sea; grassland":"frozen; artic; temperate; frigid"
142:"Stellaria Crypt Tertial":394:0,91:0,414:1,3:"desert":"temperate; rocky; hot"
143:"Stellaria Crypt Decimal":394:Unknown:0,66:1,35:"mountain; tundra":"windy; frozen"
144:"Cosmara XVIII":3451:5,84:1,227:1,68:"barren; volcano; rainforest; tundra":"arid; tropical; frozen; frigid"
145:"Cosmara II":3451:5,73:0,548:2,19:"scrubland; lakes; glacier; savanna; ash; desert; forest":"superheated; artic; hot; arid; tropical"
146:"Cosmara XVII":3451:2,62:1,284:1,27:"verdant":"artificial temperate; rocky; frozen; frigid"
147:"Ankh Seraph XVI":8153:1,38:1,233:1,04:"rocky desert; grassland":"artic; frozen; rocky; arid; temperate"
148:"Ankh Seraph III":8153:0,38:Unknown:0,83:"jungle; city; river; forest; rocky island":"hot; arid; rocky"
149:"Ankh Seraph XI":8153:2,98:1,164:1,37:"lava river; jungle":"hot; frozen"
150:"Sylvarix XXI":4454:2,08:1,115:1,23:"ocean; rock arche; rainforest":"superheated; frigid"
151:"Aegis Obscura Quartal":901:0,73:1,12:0,87:"urban; jungle; cityscape":"rocky; tropical"
152:"Aegis Obscura Tertial":901:2,63:1,348:1,25:"ocean":"artificial temperate"
153:"Nebulae Cipher Irisian":2279:3,17:1,073:1,43:"desert; plain; bog; ash; vine; sea":"superheated; rocky; arid; temperate; tropical"
154:"Nebulae Cipher Astraeos":2279:1,17:1,202:0,99:"rocky desert; sea; urban; toxic cloudsea; vine; valley; desert":"temperate; arid; superheated; subartic; artic; artificial temperate"
155:"Cleopatra's Resonance IV":7905:1,82:0,572:1,47:"jungle; plateau":"superheated; windy"
156:"Cleopatra's Resonance XI":7905:1,99:0,938:1,28:"vine; cave; island; plateau; desert":"tropical; rocky; temperate; artic; subartic; humid"
157:"Cleopatra's Resonance I":7905:2,89:0,883:1,48:"sea; rocky canyon; mountain":"artificial temperate; windy; frozen"
158:"Altair Nu":5367:2,41:1,398:1,2:"field; rocky desert; bog; desert; urban; cityscape":"rocky; hot; arid; artic; artificial temperate"
159:"Kōri Kappa":2702:Unknown:1,019:0,98:"desert; cave":"rocky; frigid; frozen; superheated; temperate"
160:"Kōri Omega":2702:2,53:0,751:1,5:"fungus forest; rocky desert; tundra":"hot; superheated; arid; windy; humid; rocky"
161:"Kōri Tau":2702:1,33:0,864:1,15:"valley; ocean; river; island; lakes":"humid; frozen; tropical"
162:"Frostbeard Hadean":4153:6,19:0,723:2,05:"bog; grassland; ice canyon; forest":"temperate; windy; superheated; tropical; artic"
163:"Starlight Whisper Upsilon":9815:9,34:1,159:2,01:"lakes":"subartic; frozen"
164:"Starlight Whisper Omicron":9815:1,82:1,363:1,1:"rock arche; plateau":"rocky; superheated"
165:"Kiri Horizon XVIII":7825:0,41:0,876:0,78:"glacier; rock arche; plain":"artic; rocky; subartic"
166:"Stellarnox XXIV":4095:3,04:0,991:1,45:"hill; plain":"windy; arid; subartic"
167:"Arneb XVI":4951:1,8:1,384:1,09:"desert; ice cave; glacier; reef":"artic; frigid; frozen; rocky; arid; artificial temperate"
168:"Zephyrion V":5473:8,77:1,212:1,93:"acid pool; mountain; ocean; cliff":"temperate; subartic; windy; humid; artificial temperate; frozen"
169:"Zephyrion XX":5473:7,67:0,993:1,98:"urban; forest; cliff":"hot; artic; temperate; rocky; frozen; superheated; humid"
170:"Zephyrion XVIII":5473:4,87:1,129:1,63:"plateau":"frigid; artificial temperate; artic; tropical"
171:"Tonatiuh Liu":5877:1,4:1,373:1,01:"swamp; rock arche":"tropical; subartic"
172:"Tonatiuh Wu":5877:5,48:0,605:2,08:"jungle; rocky canyon; island; fungus forest":"frigid; tropical; subartic; windy; artificial temperate"
173:"Tonatiuh Qi":5877:7,61:1,059:1,93:"cliff":"windy; frozen"
174:"Nahn Duodecimal":4831:3,75:1,092:1,51:"hill; rocky canyon; ice cave; lava river; bog":"subartic; frozen; temperate; arid"
175:"Kōkei Labyrinth XXIV":2562:3,39:0,536:1,85:"island; cityscape":"rocky; humid; arid; subartic; artificial temperate; windy; superheated"
176:"Lionrock Gaian":3796:1,32:1,219:1,03:"field; jungle; cave; desert; island":"rocky; subartic; hot; temperate"
177:"Dofida Undecimal":9009:0,68:1,149:0,84:"mountain; plain; rock arche":"frozen; artic"
178:"Dofida Septimal":9009:2,01:0,801:1,36:"plateau; rocky island; rocky canyon; lava river; ice canyon":"rocky; hot; temperate; frozen; windy"
179:"Dofida Nonal":9009:5,35:1,002:1,75:"city; savanna; river":"frigid; superheated"
180:"Astrolithium XI":1128:3,39:0,268:2,33:"ice canyon; mountain; cave; plain":"tropical; arid; subartic; windy; artificial temperate"
181:"Fafnir Jiu":1768:1,55:0,947:1,18:"verdant":"humid; tropical; temperate"
182:"Fafnir Ba":1768:2,56:1,028:1,36:"sinkholes; verdant; fungus forest":"hot; frozen; arid; artificial temperate; tropical; artic"
183:"Fafnir Wu":1768:1,19:1,176:1:"plain; lakes; plateau; canyons":"artic; superheated; subartic"
184:"Nebulithra Lambda":2544:6,88:0,953:1,93:"verdant; island":"frigid; artic; arid; subartic"
185:"Cosmic Shadows Phi":7805:2,77:0,715:1,57:"lakes; cave; canyons; ocean; city; cityscape; verdant":"temperate; frozen; subartic; rocky; superheated; humid"
186:"Alruba XXII":3620:0,55:0,832:0,87:"toxic cloudsea":"artificial temperate; artic"
187:"Polaris XII":9207:7,71:0,691:2,23:"rock arche; valley":"frigid; frozen"
188:"Polaris XXIV":9207:3,16:1,391:1,31:"canyons; cityscape; jungle; city":"artic; artificial temperate; frozen; frigid; humid; subartic; temperate"
189:"Rasalgethi XXIII":8201:1,64:0,959:1,2:"city":"rocky; tropical; windy"
190:"Rasalgethi XXII":8201:8,06:0,902:2,08:"swamp; grassland; cave; rainforest":"humid; frigid; artificial temperate; windy; artic"
191:"Rukbat Phi":8307:2,87:1,142:1,36:"city":"hot; temperate"
192:"Rukbat Lambda":8307:6,43:0,6:2,21:"volcano":"artic; tropical; frigid; frozen; subartic; arid"
193:"Rukbat Xi":8307:3,86:0,76:1,72:"cave":"frozen; temperate; rocky"
194:"Anser Alpha":4225:2:0,973:1,27:"jungle; plain; savanna; field":"tropical; superheated; temperate; arid"
195:"Anser Kappa":4225:1,43:1,271:1,04:"acid pool; cliff; rock arche":"subartic; tropical; superheated; windy"
196:"Scarabian Veil VI":3449:8,7:1,275:1,9:"fungus forest; ocean; scrubland; rocky canyon; acid pool; desert":"humid; temperate; arid; subartic; hot"
197:"Scarabian Veil XXII":3449:7,16:1,096:1,87:"tundra; savanna; rainforest; forest":"subartic; tropical; artic; windy"
198:"Ayame Cascade Upsilon":2547:6,02:1,076:1,78:"glacier; lakes; savanna; volcano":"frozen; subartic; artic; arid"
199:"Ayame Cascade Phi":2547:3,27:0,466:1,91:"rocky canyon; valley":"artic; superheated; artificial temperate; humid; rocky"
200:"Astrylis Hecatean":1347:7,11:0,958:1,95:"city; acid pool; cave; toxic cloudsea; valley; verdant":"hot; artic; frigid; subartic"
201:"Zephyriax Demetrian":1895:3,84:0,81:1,68:"ash; canyons; sinkholes":"frozen; rocky; hot; frigid; superheated"
202:"Sham Gaios":9516:0,39:1,059:0,72:"cliff; savanna; desert":"temperate; frigid; subartic; arid"
203:"Formosa XIII":9658:9,21:1,166:1,99:"plain; sea; vine; reef":"windy; artificial temperate; tropical; subartic"
204:"Grimclaw Museios":1021:1,99:1,196:1,18:"sea":"frozen; arid; temperate; artificial temperate; superheated; windy"
205:"Ninja's Horizon Alpha":8807:3,38:0,949:1,53:"field; bog; glacier; ash; verdant":"artic; frigid; hot"
206:"Cosmaronix Kappa":3638:0,98:0,91:1,02:"cityscape; forest; fungus forest; glacier; plateau":"rocky; hot; humid; subartic; frozen; temperate"
207:"Torii Celestial Rho":2666:0,56:1,313:0,75:"plain; barren":"frozen; arid; temperate; frigid; artificial temperate; superheated"
208:"Torii Celestial Nu":2666:2,04:0,763:1,39:"reef":"artic; superheated; windy; humid; tropical"
209:"Kasumi Whisper Oranos":4801:4,05:0,979:1,61:"urban; valley":"windy; superheated"
210:"Solaraether Rho":2176:1,12:0,96:1,05:"plain":"superheated; hot"
211:"Infinite Iris Orphean":9648:1,68:1,235:1,11:"lakes; urban":"hot; rocky"
212:"Vortexarian Hadean":3956:1,62:1,303:1,08:"glacier; grassy hill; tundra; toxic cloudsea; island; ash; mountain; urban":"hot; frozen; superheated; subartic; temperate"
213:"Ankh Horizon Zeta":4315:Unknown:0,852:1,42:"acid pool; fungus forest; hill; rocky island; glacier; urban; valley":"artificial temperate; tropical; hot; temperate; frigid; frozen"
214:"Atlas Nymphios":5062:5,27:1,26:1,61:"rock arche; plain":"superheated; frigid; subartic; tropical; humid"
215:"Novaflare Zephyrian":2610:2,06:1,115:1,23:"cave; vine":"arid; frigid; windy"
216:"Novaflare Nymphios":2610:0,48:1,024:0,78:"verdant; reef; rocky island":"humid; tropical"
217:"Spica Rho":7276:3,54:0,92:1,57:"lava river; rocky canyon; verdant":"windy; artic; humid; arid; subartic; tropical; rocky"
218:"Nile Celestial Astraeos":6737:8,5:1,368:1,84:"sea; jungle; valley; sinkholes; field; cave; cliff":"artic; humid; temperate; frozen; superheated; artificial temperate"
219:"Nebula Whisper Titanos":9923:7,02:1,285:1,76:"river; reef; grassy hill; jungle":"hot; temperate; superheated; rocky; arid"
220:"Bastet's Silence XI":7738:1,42:Unknown:1,1:"":"windy"
221:"Olympian Flux Astraeos":7232:0,42:1,047:0,74:"field; urban; ocean; savanna":"tropical; artificial temperate; artic"
222:"Asterion Enigma Theta":9040:1,79:1,139:1,16:"acid pool; grassy hill; ash":"hot; windy; frozen"
223:"Asterion Enigma Psi":9040:2,96:0,921:1,48:"river":"artic; tropical; frozen; temperate; windy"
224:"Solaris Psychean":7258:4,12:0,775:1,75:"fungus forest; plain; river":"hot; tropical; superheated; artificial temperate"
225:"Solaris Hestian":7258:5,85:0,854:1,9:"rock arche; vine":"arid"
226:"Solaris Olympus":7258:2,93:1,114:1,38:"volcano; hill; lakes; jungle":"windy; hot; arid; rocky"
227:"Lunar Mirage Helios":7070:5,64:1,029:1,76:"hill":"arid; rocky"
228:"Phecda XI":5082:2,17:1,259:1,2:"plain":"hot; artificial temperate; windy; temperate"
229:"Ceibo Delta":6898:1,12:1,285:0,96:"tundra; verdant":"arid; rocky"
230:"Ceibo Beta":6898:4,98:1,122:1,64:"city; grassy hill; toxic cloudsea":"frigid; subartic; temperate; humid; frozen"
231:"Ceibo Theta":6898:3,09:0,804:1,57:"lakes; plain":"humid; rocky; tropical"
232:"Lunarisol Persephonian":92:1,67:1,425:1,05:"city; plateau":"temperate; windy"
233:"Lunarisol Aetherios":92:6,7:0,904:1,95:"bog; glacier; rock arche; ice canyon; ash; urban; river; savanna; jungle":"frigid; artificial temperate; windy; tropical; hot; subartic; humid"
